Zeit,Kanal A,Kanal B
(ms),(V),(A)

-0.02386100,-8.22473800,-0.29938660
-0.00338100,-8.22473800,-0.29938660
0.01709900,0.73244420,-0.29035310
0.03757900,0.73244420,-0.29035310
0.05805900,0.73244420,-0.29035310
0.07853900,5.21866500,-0.29035310
0.09901900,5.21866500,-0.29035310
0.11949900,9.68962700,-0.28131960
0.13997900,9.68962700,-0.28131960
0.16045900,9.68962700,-0.29035310
0.18093900,14.17585000,-0.28131960
0.20141900,18.64681000,-0.27225560
0.22189900,18.64681000,-0.28131960
0.24237900,18.64681000,-0.28131960
0.26285900,23.11777000,-0.27225560
0.28333900,27.60399000,-0.28131960
0.30381900,27.60399000,-0.27225560
0.32429900,27.60399000,-0.28131960
0.34477900,32.07495000,-0.26322220
0.36525900,36.56117000,-0.27225560
0.38573900,36.56117000,-0.28131960
0.40621900,36.56117000,-0.26322220
0.42669900,41.04739000,-0.25418870
0.44717900,45.51836000,-0.25418870
0.46765900,45.51836000,-0.25418870
0.48813900,45.51836000,-0.25418870
0.50861900,50.00458000,-0.25418870
0.52909900,54.47554000,-0.24515520
0.54957900,54.47554000,-0.23612170
0.57005900,54.47554000,-0.22705770
0.59053900,54.47554000,-0.22705770
0.61101900,58.96176000,-0.22705770
0.63149900,58.96176000,-0.22705770
0.65197900,63.44798000,-0.20899080
0.67245900,63.44798000,-0.19995730
0.69293900,63.44798000,-0.20899080
0.71341900,72.40517000,-0.20899080
0.73389900,72.40517000,-0.19092380
0.75437900,72.40517000,-0.19092380
0.77485900,72.40517000,-0.19995730
0.79533900,76.87613000,-0.18185980
0.81581900,76.87613000,-0.17282630
0.83629900,81.36235000,-0.18185980
0.85677900,81.36235000,-0.17282630
0.87725900,81.36235000,-0.18185980
0.89773900,85.84857000,-0.18185980
0.91821900,90.31953000,-0.18185980
0.93869900,90.31953000,-0.16379280
0.95917899,90.31953000,-0.18185980
0.97965899,90.31953000,-0.18185980
1.00013899,94.80575000,-0.16379280
1.02061899,94.80575000,-0.15475940
1.04109899,99.27671000,-0.14572590
1.06157899,99.27671000,-0.15475940
1.08205899,99.27671000,-0.14572590
1.10253899,103.76290000,-0.14572590
1.12301899,103.76290000,-0.13666190
1.14349899,108.24920000,-0.11859490
1.16397899,108.24920000,-0.11859490
1.18445899,108.24920000,-0.10956150
1.20493899,112.72010000,-0.10956150
1.22541899,112.72010000,-0.11859490
1.24589899,112.72010000,-0.09146398
1.26637899,117.20630000,-0.10956150
1.28685899,117.20630000,-0.09146398
1.30733899,117.20630000,-0.08243050
1.32781899,117.20630000,-0.08243050
1.34829899,121.69260000,-0.09146398
1.36877899,126.16350000,-0.06436354
1.38925899,126.16350000,-0.05533006
1.40973899,126.16350000,-0.06436354
1.43021899,126.16350000,-0.06436354
1.45069899,130.64970000,-0.05533006
1.47117899,130.64970000,-0.04626606
1.49165899,135.12070000,-0.01916562
1.51213899,135.12070000,-0.03723259
1.53261899,135.12070000,-0.05533006
1.55309899,139.60690000,-0.04626606
1.57357899,139.60690000,-0.06436354
1.59405899,144.09310000,-0.03723259
1.61453899,144.09310000,-0.02819910
1.63501899,144.09310000,-0.01916562
1.65549899,148.56410000,-0.01013215
1.67597899,153.05030000,-0.01013215
1.69645899,153.05030000,0.00793481
1.71693899,153.05030000,-0.00109867
1.73741899,153.05030000,0.03506577
1.75789899,157.52130000,0.03506577
1.77837899,162.00750000,0.02600177
1.79885899,162.00750000,0.03506577
1.81933899,162.00750000,0.04409925
1.83981899,162.00750000,0.05313273
1.86029899,166.49370000,0.05313273
1.88077899,166.49370000,0.06216621
1.90125899,170.96470000,0.06216621
1.92173899,170.96470000,0.07119969
1.94221899,170.96470000,0.08026368
1.96269899,170.96470000,0.09833064
1.98317899,179.92190000,0.09833064
2.00365899,179.92190000,0.08929716
2.02413899,179.92190000,0.07119969
2.04461899,179.92190000,0.09833064
2.06509899,188.89430000,0.10736410
2.08557899,184.40810000,0.11639760
2.10605899,188.89430000,0.11639760
2.12653899,188.89430000,0.13449510
2.14701899,188.89430000,0.13449510
2.16749899,193.36530000,0.14352860
2.18797899,197.85150000,0.13449510
2.20845899,197.85150000,0.13449510
2.22893899,197.85150000,0.13449510
2.24941899,197.85150000,0.14352860
2.26989899,202.32250000,0.14352860
2.29037899,202.32250000,0.16159550
2.31085899,202.32250000,0.16159550
2.33133899,206.80870000,0.17065950
2.35181899,206.80870000,0.17969300
2.37229899,206.80870000,0.17969300
2.39277899,206.80870000,0.17065950
2.41325899,211.29490000,0.20679340
2.43373899,215.76590000,0.23392440
2.45421899,215.76590000,0.24295790
2.47469899,215.76590000,0.24295790
2.49517899,215.76590000,0.23392440
2.51565899,224.73830000,0.25199130
2.53613899,224.73830000,0.25199130
2.55661899,224.73830000,0.26105540
2.57709899,224.73830000,0.26105540
2.59757898,224.73830000,0.25199130
2.61805898,229.20930000,0.26105540
2.63853898,229.20930000,0.27912230
2.65901898,233.69550000,0.29718930
2.67949898,233.69550000,0.28815580
2.69997898,233.69550000,0.28815580
2.72045898,233.69550000,0.28815580
2.74093898,238.16650000,0.27912230
2.76141898,238.16650000,0.29718930
2.78189898,242.65270000,0.31528680
2.80237898,242.65270000,0.32432020
2.82285898,242.65270000,0.32432020
2.84333898,242.65270000,0.32432020
2.86381898,242.65270000,0.34238720
2.88429898,247.13890000,0.36048470
2.90477898,251.60980000,0.38758510
2.92525898,251.60980000,0.36951810
2.94573898,251.60980000,0.37855160
2.96621898,251.60980000,0.37855160
2.98669898,256.09610000,0.37855160
3.00717898,256.09610000,0.36951810
3.02765898,260.56700000,0.36048470
3.04813898,260.56700000,0.38758510
3.06861898,260.56700000,0.36951810
3.08909898,260.56700000,0.37855160
3.10957898,265.05330000,0.40568260
3.13005898,265.05330000,0.40568260
3.15053898,269.53950000,0.39664910
3.17101898,269.53950000,0.36048470
3.19149898,269.53950000,0.36048470
3.21197898,269.53950000,0.36951810
3.23245898,269.53950000,0.39664910
3.25293898,274.01040000,0.40568260
3.27341898,274.01040000,0.43278300
3.29389898,278.49660000,0.43278300
3.31437898,278.49660000,0.43278300
3.33485898,278.49660000,0.46894740
3.35533898,278.49660000,0.47798090
3.37581898,278.49660000,0.49607840
3.39629898,278.49660000,0.47798090
3.41677898,282.96760000,0.46894740
3.43725898,282.96760000,0.47798090
3.45773898,282.96760000,0.50511190
3.47821898,282.96760000,0.48704490
3.49869898,287.45390000,0.48704490
3.51917898,287.45390000,0.48704490
3.53965898,287.45390000,0.50511190
3.56013898,287.45390000,0.50511190
3.58061898,287.45390000,0.50511190
3.60109898,287.45390000,0.51414540
3.62157898,287.45390000,0.49607840
3.64205898,291.94010000,0.49607840
3.66253898,291.94010000,0.48704490
3.68301898,291.94010000,0.49607840
3.70349898,291.94010000,0.50511190
3.72397898,296.41100000,0.50511190
3.74445898,291.94010000,0.51414540
3.76493898,296.41100000,0.53224280
3.78541898,296.41100000,0.54127630
3.80589898,296.41100000,0.56840720
3.82637898,296.41100000,0.57744070
3.84685898,296.41100000,0.55934320
3.86733898,296.41100000,0.54127630
3.88781898,296.41100000,0.53224280
3.90829898,296.41100000,0.55030980
3.92877898,300.89720000,0.54127630
3.94925898,296.41100000,0.55934320
3.96973898,300.89720000,0.55934320
3.99021898,300.89720000,0.57744070
4.01069898,300.89720000,0.58647420
4.03117898,300.89720000,0.63167210
4.05165898,305.38350000,0.68590350
4.07213898,305.38350000,0.67687000
4.09261898,305.38350000,0.66783660
4.11309898,305.38350000,0.65880300
4.13357898,305.38350000,0.64973910
4.15405898,305.38350000,0.65880300
4.17453898,305.38350000,0.65880300
4.19501898,305.38350000,0.67687000
4.21549898,305.38350000,0.67687000
4.23597897,305.38350000,0.68590350
4.25645897,305.38350000,0.70400110
4.27693897,305.38350000,0.73110140
4.29741897,305.38350000,0.72206800
4.31789897,305.38350000,0.70400110
4.33837897,309.85440000,0.67687000
4.35885897,309.85440000,0.65880300
4.37933897,309.85440000,0.66783660
4.39981897,309.85440000,0.68590350
4.42029897,309.85440000,0.68590350
4.44077897,309.85440000,0.68590350
4.46125897,309.85440000,0.70400110
4.48173897,309.85440000,0.73110140
4.50221897,309.85440000,0.76726590
4.52269897,309.85440000,0.78533290
4.54317897,309.85440000,0.75823240
4.56365897,309.85440000,0.72206800
4.58413897,309.85440000,0.72206800
4.60461897,309.85440000,0.72206800
4.62509897,309.85440000,0.75823240
4.64557897,309.85440000,0.75823240
4.66605897,309.85440000,0.76726590
4.68653897,309.85440000,0.76726590
4.70701897,309.85440000,0.77629940
4.72749897,309.85440000,0.79439690
4.74797897,309.85440000,0.81246380
4.76845897,309.85440000,0.81246380
4.78893897,309.85440000,0.79439690
4.80941897,314.34060000,0.77629940
4.82989897,309.85440000,0.77629940
4.85037897,309.85440000,0.78533290
4.87085897,314.34060000,0.79439690
4.89133897,314.34060000,0.78533290
4.91181897,314.34060000,0.78533290
4.93229897,314.34060000,0.79439690
4.95277897,314.34060000,0.79439690
4.97325897,314.34060000,0.80343030
4.99373897,314.34060000,0.79439690
5.01421897,314.34060000,0.78533290
5.03469897,314.34060000,0.75823240
5.05517897,314.34060000,0.74919890
5.07565897,309.85440000,0.75823240
5.09613897,314.34060000,0.76726590
5.11661897,314.34060000,0.78533290
5.13709897,314.34060000,0.79439690
5.15757897,314.34060000,0.79439690
5.17805897,314.34060000,0.81246380
5.19853897,314.34060000,0.84862820
5.21901897,314.34060000,0.85766170
5.23949897,314.34060000,0.83959470
5.25997897,314.34060000,0.83053080
5.28045897,314.34060000,0.80343030
5.30093897,314.34060000,0.79439690
5.32141897,314.34060000,0.80343030
5.34189897,314.34060000,0.82149730
5.36237897,314.34060000,0.83959470
5.38285897,314.34060000,0.84862820
5.40333897,314.34060000,0.86669520
5.42381897,314.34060000,0.88479270
5.44429897,314.34060000,0.87572870
5.46477897,314.34060000,0.85766170
5.48525897,314.34060000,0.83053080
5.50573897,314.34060000,0.81246380
5.52621897,314.34060000,0.79439690
5.54669897,314.34060000,0.81246380
5.56717897,314.34060000,0.83053080
5.58765897,314.34060000,0.84862820
5.60813897,314.34060000,0.84862820
5.62861897,314.34060000,0.85766170
5.64909897,314.34060000,0.87572870
5.66957897,314.34060000,0.88479270
5.69005897,314.34060000,0.87572870
5.71053897,314.34060000,0.86669520
5.73101897,314.34060000,0.83053080
5.75149897,314.34060000,0.81246380
5.77197897,314.34060000,0.82149730
5.79245897,314.34060000,0.83959470
5.81293897,309.85440000,0.83959470
5.83341897,309.85440000,0.83959470
5.85389897,314.34060000,0.85766170
5.87437897,314.34060000,0.86669520
5.89485896,314.34060000,0.88479270
5.91533896,309.85440000,0.87572870
5.93581896,309.85440000,0.83959470
5.95629896,314.34060000,0.80343030
5.97677896,309.85440000,0.78533290
5.99725896,309.85440000,0.78533290
6.01773896,309.85440000,0.81246380
6.03821896,309.85440000,0.83053080
6.05869896,309.85440000,0.83053080
6.07917896,309.85440000,0.83053080
6.09965896,309.85440000,0.83959470
6.12013896,309.85440000,0.86669520
6.14061896,309.85440000,0.86669520
6.16109896,309.85440000,0.85766170
6.18157896,305.38350000,0.83959470
6.20205896,305.38350000,0.80343030
6.22253896,305.38350000,0.81246380
6.24301896,305.38350000,0.80343030
6.26349896,305.38350000,0.82149730
6.28397896,305.38350000,0.81246380
6.30445896,305.38350000,0.82149730
6.32493896,305.38350000,0.82149730
6.34541896,300.89720000,0.82149730
6.36589896,300.89720000,0.80343030
6.38637896,296.41100000,0.77629940
6.40685896,296.41100000,0.75823240
6.42733896,296.41100000,0.72206800
6.44781896,296.41100000,0.72206800
6.46829896,296.41100000,0.72206800
6.48877896,291.94010000,0.71303450
6.50925896,291.94010000,0.74013500
6.52973896,287.45390000,0.74013500
6.55021896,287.45390000,0.74919890
6.57069896,287.45390000,0.75823240
6.59117896,287.45390000,0.76726590
6.61165896,282.96760000,0.74919890
6.63213896,282.96760000,0.73110140
6.65261896,278.49660000,0.70400110
6.67309896,278.49660000,0.67687000
6.69357896,278.49660000,0.67687000
6.71405896,278.49660000,0.68590350
6.73453896,274.01040000,0.68590350
6.75501896,274.01040000,0.68590350
6.77549896,269.53950000,0.68590350
6.79597896,269.53950000,0.71303450
6.81645896,269.53950000,0.72206800
