Zeit,Kanal A,Kanal B
(ms),(V),(A)

-0.03433700,-8.22473800,-1.12292900
-0.01385700,-8.22473800,-1.07791400
0.00662300,-3.75377700,-1.07791400
0.02710300,0.73244420,-1.07791400
0.04758300,0.73244420,-1.03289900
0.06806300,0.73244420,-1.03289900
0.08854300,5.21866500,-0.98788420
0.10902300,5.21866500,-0.98788420
0.12950300,9.68962700,-0.94302190
0.14998300,9.68962700,-0.94302190
0.17046300,14.17585000,-0.89800720
0.19094300,18.64681000,-0.89800720
0.21142300,18.64681000,-0.85299230
0.23190300,18.64681000,-0.85299230
0.25238300,23.11777000,-0.80797760
0.27286300,23.11777000,-0.80797760
0.29334300,27.60399000,-0.76311530
0.31382300,27.60399000,-0.71810050
0.33430300,27.60399000,-0.71810050
0.35478300,32.07495000,-0.67308570
0.37526300,36.56117000,-0.67308570
0.39574300,36.56117000,-0.62807090
0.41622300,36.56117000,-0.62807090
0.43670300,41.04739000,-0.62807090
0.45718300,45.51836000,-0.58320870
0.47766300,45.51836000,-0.53819390
0.49814300,45.51836000,-0.53819390
0.51862300,45.51836000,-0.49317910
0.53910300,50.00458000,-0.49317910
0.55958300,54.47554000,-0.44816430
0.58006300,54.47554000,-0.44816430
0.60054300,58.96176000,-0.40330210
0.62102299,58.96176000,-0.35828730
0.64150299,58.96176000,-0.35828730
0.66198299,63.44798000,-0.35828730
0.68246299,63.44798000,-0.31327250
0.70294299,63.44798000,-0.31327250
0.72342299,67.91895000,-0.22339550
0.74390299,72.40517000,-0.26825770
0.76438299,72.40517000,-0.17838070
0.78486299,72.40517000,-0.17838070
0.80534299,76.87613000,-0.17838070
0.82582299,76.87613000,-0.13336590
0.84630299,81.36235000,-0.13336590
0.86678299,81.36235000,-0.08835109
0.88726299,81.36235000,-0.04348888
0.90774299,85.84857000,-0.04348888
0.92822299,85.84857000,-0.04348888
0.94870299,90.31953000,0.00137333
0.96918299,90.31953000,0.00137333
0.98966299,90.31953000,0.04638813
1.01014299,94.80575000,0.04638813
1.03062299,99.27671000,0.09140294
1.05110299,99.27671000,0.13641770
1.07158299,99.27671000,0.18127990
1.09206299,99.27671000,0.18127990
1.11254299,103.76290000,0.22629480
1.13302299,103.76290000,0.22629480
1.15350299,108.24920000,0.27130960
1.17398299,108.24920000,0.27130960
1.19446299,108.24920000,0.31632440
1.21494299,112.72010000,0.31632440
1.23542299,112.72010000,0.36118660
1.25590299,117.20630000,0.36118660
1.27638299,117.20630000,0.40620140
1.29686299,117.20630000,0.40620140
1.31734299,117.20630000,0.45121620
1.33782299,121.69260000,0.45121620
1.35830299,121.69260000,0.49623100
1.37878299,126.16350000,0.54109320
1.39926299,126.16350000,0.54109320
1.41974299,126.16350000,0.54109320
1.44022299,130.64970000,0.58610800
1.46070299,130.64970000,0.58610800
1.48118299,135.12070000,0.58610800
1.50166299,135.12070000,0.63112270
1.52214299,135.12070000,0.67613760
1.54262299,135.12070000,0.67613760
1.56310299,139.60690000,0.72099980
1.58358299,144.09310000,0.72099980
1.60406299,144.09310000,0.76601460
1.62454299,144.09310000,0.76601460
1.64502299,148.56410000,0.81102940
1.66550299,148.56410000,0.81102940
1.68598299,148.56410000,0.85604420
1.70646299,153.05030000,0.85604420
1.72694299,153.05030000,0.90090640
1.74742299,157.52130000,0.90090640
1.76790299,157.52130000,0.94592120
1.78838299,162.00750000,0.94592120
1.80886299,162.00750000,0.99093600
1.82934299,162.00750000,0.99093600
1.84982299,166.49370000,1.03595100
1.87030299,166.49370000,1.03595100
1.89078299,166.49370000,1.08081300
1.91126299,170.96470000,1.08081300
1.93174299,170.96470000,1.08081300
1.95222299,170.96470000,1.12582800
1.97270299,170.96470000,1.12582800
1.99318299,175.45090000,1.21585700
2.01366299,179.92190000,1.21585700
2.03414299,179.92190000,1.21585700
2.05462299,179.92190000,1.26072000
2.07510299,184.40810000,1.26072000
2.09558299,188.89430000,1.30573400
2.11606299,188.89430000,1.30573400
2.13654299,188.89430000,1.30573400
2.15702299,188.89430000,1.35074900
2.17750299,193.36530000,1.35074900
2.19798299,193.36530000,1.39576400
2.21846299,197.85150000,1.44062600
2.23894299,197.85150000,1.44062600
2.25942298,197.85150000,1.44062600
2.27990298,202.32250000,1.44062600
2.30038298,202.32250000,1.48564100
2.32086298,202.32250000,1.48564100
2.34134298,206.80870000,1.53065600
2.36182298,206.80870000,1.57567100
2.38230298,206.80870000,1.57567100
2.40278298,206.80870000,1.62053300
2.42326298,211.29490000,1.62053300
2.44374298,215.76590000,1.62053300
2.46422298,215.76590000,1.62053300
2.48470298,220.25210000,1.66554800
2.50518298,220.25210000,1.71056200
2.52566298,220.25210000,1.71056200
2.54614298,224.73830000,1.71056200
2.56662298,224.73830000,1.75557700
2.58710298,224.73830000,1.80043900
2.60758298,224.73830000,1.80043900
2.62806298,224.73830000,1.80043900
2.64854298,229.20930000,1.84545400
2.66902298,233.69550000,1.84545400
2.68950298,233.69550000,1.89046900
2.70998298,238.16650000,1.89046900
2.73046298,238.16650000,1.93548400
2.75094298,238.16650000,1.93548400
2.77142298,242.65270000,1.98034600
2.79190298,242.65270000,1.98034600
2.81238298,242.65270000,1.98034600
2.83286298,242.65270000,2.02536100
2.85334298,247.13890000,2.02536100
2.87382298,247.13890000,2.02536100
2.89430298,251.60980000,2.07037600
2.91478298,251.60980000,2.11539100
2.93526298,251.60980000,2.11539100
2.95574298,251.60980000,2.11539100
2.97622298,256.09610000,2.16025300
2.99670298,256.09610000,2.16025300
3.01718298,256.09610000,2.16025300
3.03766298,260.56700000,2.16025300
3.05814298,260.56700000,2.20526700
3.07862298,260.56700000,2.20526700
3.09910298,260.56700000,2.20526700
3.11958298,269.53950000,2.25028200
3.14006298,265.05330000,2.25028200
3.16054298,269.53950000,2.29529700
3.18102298,269.53950000,2.29529700
3.20150298,269.53950000,2.34015900
3.22198298,269.53950000,2.34015900
3.24246298,269.53950000,2.34015900
3.26294298,274.01040000,2.34015900
3.28342298,274.01040000,2.38517400
3.30390298,278.49660000,2.38517400
3.32438298,278.49660000,2.38517400
3.34486298,278.49660000,2.43018900
3.36534298,278.49660000,2.43018900
3.38582298,278.49660000,2.47520400
3.40630298,278.49660000,2.47520400
3.42678298,282.96760000,2.52006600
3.44726298,278.49660000,2.47520400
3.46774298,282.96760000,2.47520400
3.48822298,287.45390000,2.52006600
3.50870298,287.45390000,2.52006600
3.52918298,287.45390000,2.52006600
3.54966298,287.45390000,2.56508100
3.57014298,287.45390000,2.56508100
3.59062298,291.94010000,2.56508100
3.61110298,287.45390000,2.61009600
3.63158298,291.94010000,2.61009600
3.65206298,291.94010000,2.61009600
3.67254298,287.45390000,2.61009600
3.69302298,291.94010000,2.65511000
3.71350298,296.41100000,2.65511000
3.73398298,296.41100000,2.65511000
3.75446298,296.41100000,2.69997200
3.77494298,296.41100000,2.69997200
3.79542298,296.41100000,2.69997200
3.81590298,296.41100000,2.69997200
3.83638298,296.41100000,2.69997200
3.85686298,296.41100000,2.69997200
3.87734298,296.41100000,2.69997200
3.89782297,300.89720000,2.74498700
3.91830297,296.41100000,2.74498700
3.93878297,300.89720000,2.74498700
3.95926297,300.89720000,2.74498700
3.97974297,305.38350000,2.79000200
4.00022297,305.38350000,2.79000200
4.02070297,305.38350000,2.79000200
4.04118297,305.38350000,2.83501700
4.06166297,305.38350000,2.83501700
4.08214297,305.38350000,2.83501700
4.10262297,305.38350000,2.83501700
4.12310297,305.38350000,2.83501700
4.14358297,305.38350000,2.83501700
4.16406297,305.38350000,2.87987900
4.18454297,305.38350000,2.83501700
4.20502297,305.38350000,2.87987900
4.22550297,305.38350000,2.87987900
4.24598297,305.38350000,2.87987900
4.26646297,305.38350000,2.87987900
4.28694297,305.38350000,2.87987900
4.30742297,309.85440000,2.87987900
4.32790297,305.38350000,2.92489400
4.34838297,309.85440000,2.87987900
4.36886297,305.38350000,2.92489400
4.38934297,305.38350000,2.92489400
4.40982297,309.85440000,2.92489400
4.43030297,309.85440000,2.92489400
4.45078297,309.85440000,2.92489400
4.47126297,309.85440000,2.96990900
4.49174297,309.85440000,2.96990900
4.51222297,309.85440000,2.96990900
4.53270297,309.85440000,2.92489400
4.55318297,309.85440000,2.96990900
4.57366297,309.85440000,2.96990900
4.59414297,309.85440000,2.96990900
4.61462297,309.85440000,2.96990900
4.63510297,309.85440000,2.96990900
4.65558297,309.85440000,2.96990900
4.67606297,309.85440000,2.96990900
4.69654297,309.85440000,2.96990900
4.71702297,314.34060000,3.01492400
4.73750297,309.85440000,3.01492400
4.75798297,314.34060000,3.01492400
4.77846297,309.85440000,3.01492400
4.79894297,309.85440000,3.01492400
4.81942297,309.85440000,3.05978600
4.83990297,314.34060000,3.01492400
4.86038297,314.34060000,3.01492400
4.88086297,309.85440000,3.01492400
4.90134297,309.85440000,3.01492400
4.92182297,314.34060000,3.05978600
4.94230297,309.85440000,3.05978600
4.96278297,314.34060000,3.05978600
4.98326297,314.34060000,3.05978600
5.00374297,314.34060000,3.05978600
5.02422297,314.34060000,3.05978600
5.04470297,314.34060000,3.05978600
5.06518297,314.34060000,3.05978600
5.08566297,314.34060000,3.05978600
5.10614297,314.34060000,3.05978600
5.12662297,314.34060000,3.05978600
5.14710297,314.34060000,3.05978600
5.16758297,314.34060000,3.05978600
5.18806297,314.34060000,3.05978600
5.20854297,314.34060000,3.05978600
5.22902297,314.34060000,3.05978600
5.24950297,314.34060000,3.10480100
5.26998297,314.34060000,3.10480100
5.29046297,314.34060000,3.10480100
5.31094297,314.34060000,3.10480100
5.33142297,314.34060000,3.05978600
5.35190297,314.34060000,3.10480100
5.37238297,314.34060000,3.10480100
5.39286297,314.34060000,3.10480100
5.41334297,314.34060000,3.10480100
5.43382297,314.34060000,3.10480100
5.45430297,314.34060000,3.14981600
5.47478297,314.34060000,3.10480100
5.49526297,314.34060000,3.10480100
5.51574297,314.34060000,3.10480100
5.53622297,314.34060000,3.10480100
5.55670296,314.34060000,3.14981600
5.57718296,314.34060000,3.10480100
5.59766296,314.34060000,3.14981600
5.61814296,314.34060000,3.14981600
5.63862296,314.34060000,3.10480100
5.65910296,314.34060000,3.14981600
5.67958296,314.34060000,3.14981600
5.70006296,314.34060000,3.14981600
5.72054296,314.34060000,3.14981600
5.74102296,314.34060000,3.10480100
5.76150296,314.34060000,3.10480100
5.78198296,314.34060000,3.14981600
5.80246296,314.34060000,3.14981600
5.82294296,314.34060000,3.14981600
5.84342296,314.34060000,3.14981600
5.86390296,314.34060000,3.14981600
5.88438296,314.34060000,3.14981600
5.90486296,309.85440000,3.14981600
5.92534296,314.34060000,3.14981600
5.94582296,309.85440000,3.14981600
5.96630296,309.85440000,3.14981600
5.98678296,314.34060000,3.14981600
6.00726296,309.85440000,3.14981600
6.02774296,309.85440000,3.14981600
6.04822296,309.85440000,3.14981600
6.06870296,309.85440000,3.14981600
6.08918296,309.85440000,3.14981600
6.10966296,309.85440000,3.14981600
6.13014296,305.38350000,3.14981600
6.15062296,309.85440000,3.14981600
6.17110296,309.85440000,3.14981600
6.19158296,309.85440000,3.14981600
6.21206296,305.38350000,3.14981600
6.23254296,305.38350000,3.14981600
6.25302296,305.38350000,3.19483000
6.27350296,305.38350000,3.14981600
6.29398296,305.38350000,3.19483000
6.31446296,305.38350000,3.14981600
6.33494296,305.38350000,3.14981600
6.35542296,300.89720000,3.19483000
6.37590296,300.89720000,3.14981600
6.39638296,296.41100000,3.14981600
6.41686296,296.41100000,3.14981600
6.43734296,296.41100000,3.14981600
6.45782296,296.41100000,3.14981600
6.47830296,296.41100000,3.10480100
6.49878296,291.94010000,3.14981600
6.51926296,291.94010000,3.14981600
6.53974296,287.45390000,3.14981600
6.56022296,287.45390000,3.10480100
6.58070296,287.45390000,3.10480100
6.60118296,287.45390000,3.10480100
6.62166296,282.96760000,3.10480100
6.64214296,278.49660000,3.10480100
6.66262296,278.49660000,3.10480100
6.68310296,278.49660000,3.05978600
6.70358296,278.49660000,3.05978600
6.72406296,274.01040000,3.05978600
6.74454296,278.49660000,3.05978600
6.76502296,274.01040000,3.05978600
6.78550296,269.53950000,3.05978600
6.80598296,269.53950000,3.05978600
6.82646296,269.53950000,3.05978600
6.84694296,269.53950000,3.05978600
